clientsid,cli_no,date,cli_name,address,phone,rep_no,branch_no,birth_date,last_trade,addr,city,state,zip,lname,fname,middle,soc_sec,employer,empaddr,nocontact,customerid,lastmodify,addr2,longname,acct_type,inact_date,nac_date,jtsoc_sec,jtname,jtdob,closed,rap,cru_date,m_addr,m_addr2,m_city,m_state,m_zip,open_date,email
NULL,999964802,3/7/2003 0:00,"QUERTY, DENA",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,Portsmouth,NH,03801-,QUERTY,DENA,NULL,999-96-4802,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999966159,12/13/2002 0:00,"WITRES, PATRICIA M",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,NEW CASTLE,NH,03854-,WITRES,PATRICIA M,NULL,999-96-6159,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999967225,1/4/2003 0:00,"KOLS, WALLACE E",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,LEE,NH,03824-6522,KOLS,WALLACE E,NULL,999-96-7225,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,99997225J,10/21/2002 0:00,"WALLACE, WALLACE E",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,LEE,NH,03824-6522,WALLACE,WALLACE E,NULL,999-97-225J,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999980389,3/7/2003 0:00,"HACKMAN, IRENE",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,Rohester,NH,03867-,HACKMAN,IRENE,NULL,999-98-0389,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999901597,3/7/2003 0:00,"JUJU, HERMIE",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,MOODY,ME,04054-,JUJU,HERMIE,NULL,999-90-1597,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999902262,3/7/2003 0:00,"LEE, PAUL",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,PORTSMOUTH,NH,03801-,LEE,PAUL,NULL,999-90-2262,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999903002,3/7/2003 0:00,"POLINE, ANITA",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,DOVER,NH,03820-,POLINE,ANITA,NULL,999-90-3002,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999903144,10/21/2002 0:00,"AUILE, GLENNA",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,BELMONT,NH,03220-0100,AUILE,GLENNA,NULL,999-90-3144,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999905341,3/7/2003 0:00,"KEWEUI, GARDO",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,NEW CASTLE,NH,03854-,KEWEUI,GARDO,NULL,999-90-5341,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999905505,3/7/2003 0:00,"RESTE, AMELIA",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,NEWMARKET,NH,03857-,RESTE,AMELIA,NULL,999-90-5505,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999905526,3/7/2003 0:00,"RAINDEER, PHYLISS",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,PORTSMOUTH,NH,03801-,RAINDEER,PHYLISS,NULL,999-90-5526,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999905588,3/7/2003 0:00,"WOOD, RUTH",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,SOUTH BERWICK,ME,03908-,WOOD,RUTH,NULL,999-90-5588,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999905761,3/7/2003 0:00,"DESK, OREEN",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,NORTH FORT MYERS,FL,33917-,DESK,OREEN,NULL,999-90-5761,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999905886,3/7/2003 0:00,"CHAIR, JAMES",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,PORTSMOUTH,NH,03801-,CHAIR,JAMES,NULL,999-90-5886,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999905944,3/7/2003 0:00,"PENS, HELEN",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,KITTERY,ME,03904-,PENS,HELEN,NULL,999-90-5944,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,99996002T,10/21/2002 0:00,"PENN, ANITA",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,3/22/1929 0:00,NULL,123 SKYWOOD DRIVE NORTH PARK O,DOVER,NH,03820-2715,PENN,ANITA,NULL,999-96-002T,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999906086,3/7/2003 0:00,"GLASS, LOIS",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,RYE,NH,03870-,GLASS,LOIS,NULL,999-90-6086,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999907407,3/7/2003 0:00,"BROWN, ROBERT",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,YORK,ME,03909-,BROWN,ROBERT,NULL,999-90-7407,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999920633,3/7/2003 0:00,"BLACK, EVERETTE",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,WHITEFEILD,NH,03598-,BLACK,EVERETTE,NULL,999-92-0633,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999921203,3/7/2003 0:00,"DUTCHESS, JUNE",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,PORTSMOUTH,NH,03801-,DUTCHESS,JUNE,NULL,999-92-1203,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999921382,3/7/2003 0:00,"SINGER, OLIVER",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,PORTSMOUTH,NH,03801-,SINGER,OLIVER,NULL,999-92-1382,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999921518,3/7/2003 0:00,"SCREAMER, PAUL",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,EXETER,HI,03833-,SCREAMER,PAUL,NULL,999-92-1518,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999923495,3/7/2003 0:00,"MEDALS, CHARLES",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,PORTSMOUTH,NH,03801-,MEDALS,CHARLES,NULL,999-92-3495,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999925551,3/7/2003 0:00,"WALLACE, STELLA",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,PORTSMOUTH,NH,03801-,WALLACE,STELLA,NULL,999-92-5551,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999926914,12/6/2002 0:00,"WINDOWS, WILLIAM MEADER",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,BARRINGTON,NH,03825-,WINDOWS,WILLIAM MEADER,NULL,999-92-6914,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999927543,3/7/2003 0:00,"CUPS, ROBERT",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,OSSIPEE,NH,03864-,CUPS,ROBERT,NULL,999-92-7543,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999929474,11/11/2002 0:00,"COFFEE, DOROTHY P",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,PORTSMOUTH,NH,03802-,COFFEE,DOROTHY P,NULL,999-92-9474,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999929556,3/7/2003 0:00,"ERASER, MERTON",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,EXETER,NH,03833-,ERASER,MERTON,NULL,999-92-9556,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999929776,3/7/2003 0:00,"BOZ, LOUISE",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,GONIC,NH,03839-,BOZ,LOUISE,NULL,999-92-9776,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999945512,1/26/2003 0:00,"ZINGER, IRENE B",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,5/1/1933 0:00,NULL,123 SKYWOOD DRIVE NORTH PARK O,DOVER,NH,03820-,ZINGER,IRENE B,NULL,999-94-5512,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999945536,3/7/2003 0:00,"LASTLY, MARION",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,ELIOT,ME,03903-,LASTLY,MARION,NULL,999-94-5536,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999947618,11/16/2002 0:00,"WINTERS, MARGARET",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,DURHAM,NH,03824-,WINTERS,MARGARET,NULL,999-94-7618,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999947970,12/28/2002 0:00,"HALEY, MARGUERITE G",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,SOMERSWORTH,NH,03878-1011,HALEY,MARGUERITE G,NULL,999-94-7970,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,99998176J,12/12/2002 0:00,"JULES, RICHARD L",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,EAST KINGSTON,NH,03827-,JULES,RICHARD L,NULL,999-98-176J,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999948207,3/7/2003 0:00,"SAMS, ELEANOR",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,SOUTH NEWINGTON,NH,03801-,SAMS,ELEANOR,NULL,999-94-8207,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999948267,11/11/2002 0:00,"DINGY, LURA L",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,DOVER,NH,03820-2308,DINGY,LURA L,NULL,999-94-8267,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999960047,3/7/2003 0:00,"DASTERD, ANTONIO",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,DOVER,NH,03820-,DASTERD,ANTONIO,NULL,999-96-0047,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999960061,10/21/2002 0:00,"BASLEY, THOMAS",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,SOUTH BERWICK,NH,03908-1101,BASLEY,THOMAS,NULL,999-96-0061,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999960188,3/7/2003 0:00,"LUNG, ARMOND",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,ROCHESTER,NH,03867-,LUNG,ARMOND,NULL,999-96-0188,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999960263,3/7/2003 0:00,"HEART, PHILLIP",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O, somersworth,NH,03878-,HEART,PHILLIP,NULL,999-96-0263,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999960674,3/7/2003 0:00,"FOOT, DONALD",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,NEWMARKET,NH,03857-,FOOT,DONALD,NULL,999-96-0674,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999960719,12/27/2002 0:00,"HANDS, NANCY A",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,9/13/1934 0:00,NULL,123 SKYWOOD DRIVE NORTH PARK O,KITTERY,ME,03904-,HANDS,NANCY A,NULL,999-96-0719,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999960813,10/28/2002 0:00,"WILLIS, PATRICIA",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,2/14/1935 0:00,NULL,999 HARRIS TIME PKWY OLYMPIA W,EXETER,NH,03833-,WILLIS,PATRICIA,NULL,999-96-0813,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999961551,11/11/2002 0:00,"FRANKS, CARROLL HALL",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,DOVER,NH,03820-,FRANKS,CARROLL HALL,NULL,999-96-1551,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999962561,3/7/2003 0:00,"PARKS, LUCILLE",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,MILTON MILLS,NH,03852-,PARKS,LUCILLE,NULL,999-96-2561,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,99992578J,12/31/2002 0:00,"TIM, DENNIS T",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,UNION,NH,03887-9502,TIM,DENNIS T,NULL,999-92-578J,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999962630,3/7/2003 0:00,"JOHNS, WILBUR",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,DOVER,NH,03820-,JOHNS,WILBUR,NULL,999-96-2630,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
